S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
4038,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD DEORIA,BAGHAUCHGHAT_435932,INC-2,PAKAHAN_43593220907PAK,43593220907PAK,11,OTHER,OTHERS,RURAL,SEURE,X1012485,1,EDD DEORIA,Active
4039,POORVANCHAL,GORAKHPUR-I,EDC I GORAKHPUR,EDD CAMPIEARGANJ,JUNGLE KAURIYA BHITI_435743,INC-1,AHIRAULI_43572320872AHI,43572320872AHI,11,OTHER,OTHERS,RURAL,SECURE,X1124895,1,EDD CAMPIEARGANJ,Active
4040,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD KAURIRAM,CHAINPUR_435721,INC-1,CHAUTISHA_43573220900CHA,43573220900CHA,11,OTHER,OTHERS,RURAL,SECURE,X1285846,0.02,EDD KAURIRAM,Active
4041,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD KAURIRAM,MAJHGAWAN_435721,INC-2,UJJARPAR_43573210895UJJ,43573210895UJJ,11,OTHER,OTHERS,RURAL,LNT,14078942,1,EDD KAURIRAM,Active
4042,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD KAURIRAM,KAURIRAM_435721,INC-2,KAURIRAM_43573210894KAU,43573210894KAU,11,OTHER,OTHERS,RURAL,SECURE,X0121745,0.06,EDD KAURIRAM,Active
4043,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD II GORAKHPUR,SEWAI BAZAR_435722,INC-1,MAHABIR CHHAPRA_43573110878MBC,43573110878MBC,11,OTHER,OTHERS,RURAL,SECURE,X1085029,1,EDD II GORAKHPUR,Active
4044,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD II GORAKHPUR,GIDA_435722,INC-1,GIDA V_43573110875GD5,43573110875GD5,11,INDUSTRIAL ABOVE 75%,OTHERS,RURAL,LNT,14078925,0.06,EDD II GORAKHPUR,Active
4045,POORVANCHAL,GORAKHPUR-I,EDC I GORAKHPUR,EDD I GORAKHPUR,NAIYAPAR_435741,INC-1,RAZAHI_43572121161RAJ,43572121161RAJ,11,OTHER,OTHERS,RURAL,SECURE,X1467686,0.06,EDD I GORAKHPUR,Active
4046,POORVANCHAL,GORAKHPUR-I,EDC I GORAKHPUR,EDD I GORAKHPUR,FCI_40130,INC-2,RADIO STATION_43573110130RAD,43573110130RAD,11,OTHER,OTHERS,RURAL,SECURE,UPP57398,30,EDD I GORAKHPUR,Active
4047,POORVANCHAL,BASTI,EDC KHALILABAD,EDD Mehdawal,BAKHIRA_455512,INC-2,PUMP CANAL_47531221123PCN,47531221123PCN,11,OTHER,OTHERS,RURAL,SECURE C3V055,X0394595,1,EDD Mehdawal,Active
4048,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD V AZAMGARH,MOHABBATPUR_426031,INC-1,BAMHAOR_42602510235BMR,42602510235BMR,11,OTHER,OTHERS,RURAL,SECURE,X0394984,0.04,EDD V AZAMGARH,Active
4049,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD I BALLIA,RASARA_426211,INC-2,INDUSTRIAL_42623211028IND,42623211028IND,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,X2219198,60,EDD I BALLIA,Active
4050,POORVANCHAL,AZAMGARH,EDC MAU,EDD II MAU,WALIDPUR_426223,INC-1,WALIDPUR_42622310201WLD,42622310201WLD,11,OTHER,OTHERS,RURAL,LT,14003015,1,EDD II MAU,Active
4051,POORVANCHAL,AZAMGARH,EDC MAU,EDD II MAU,KURTHIJAFARPUR_426223,INC-1,DHAWARIYASATH_42622310203DRS,42622310203DRS,11,OTHER,OTHERS,RURAL,SECURE,X0151659,40,EDD II MAU,Active
4052,POORVANCHAL,AZAMGARH,EDC MAU,EDD I MAU,ADARI_426224,INC-1,BAGH_42622430196BAG,42622430196BAG,11,OTHER,OTHERS,IPDS,SECURE,UPP 58903,1,EDD I MAU,Active
4053,POORVANCHAL,AZAMGARH,EDC MAU,EDD I MAU,OLD POWER HOUSE_40102,INC-2,FEEDER NO-II URBAN_42622410102FD2,42622410102FD2,11,OTHER,OTHERS,URBAN,HPL,251401,20,EDD I MAU,Active
4054,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD PHOOLPUR,KHUTAULI_426032,INC-1,MAUNA_42602411262MEN,42602411262MEN,11,OTHER,OTHERS,RURAL,SECURE,X0332264,1,EDD PHOOLPUR,Active
