S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
1229,MADHYANCHAL,DEVI PATAN,EDC BALRAMPUR,EDD SRAVASTI,KATRA_355132,INC-1,KATRA TOWN_35492220439KTW,35492220439KTW,11,OTHER,OTHERS,RURAL,"SECURE, E3M054, AC, 3Ph, 4Wire",X2244121,20,EDD SRAVASTI,Active
1230,MADHYANCHAL,DEVI PATAN,EDC BAHRAICH,EDD BAHRAICH,KALPI PARA_34117,INC-2,RESHAM FARM_35492124117RSM,35492124117RSM,11,OTHER,OTHERS,URBAN,SECURE,UPP46743,2,EDD BAHRAICH,Active
1231,MADHYANCHAL,DEVI PATAN,EDC BAHRAICH,EDD BAHRAICH,KALPI PARA_34117,INC-2,GALLA MANDI_35492124117GAI,35492124117GAI,11,OTHER,OTHERS,URBAN,SECURE,UPP46783,2,EDD BAHRAICH,Active
1232,MADHYANCHAL,DEVI PATAN,EDC BALRAMPUR,EDD BALRAMPUR,SHIVPURA/HARIHARPUR_355131,INC-1,NARIANPUR_35513110179NUH,35513110179NUH,11,OTHER,OTHERS,RURAL,SECURE/DLMS,UMV91461,1,EDD BALRAMPUR,Active
1233,MADHYANCHAL,DEVI PATAN,EDC GONDA,EDD I GONDA,BADAGAON_34103,INC-1,GALLA MANDI_35521114103GLM,35521114103GLM,11,MIXED ABOVE 25%,DISTRICT HQ,URBAN,SECURE,UPP47898,3,EDD I GONDA,Active
1234,MADHYANCHAL,DEVI PATAN,EDC GONDA,EDD I GONDA,JAIL ROAD GONDA_30170,INC-1,SCPM_35521110170SPM,35521110170SPM,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,URBAN,SECURE,XC479258,60,EDD I GONDA,Active
1235,MADHYANCHAL,AYODHYA,EDC SULTANPUR,EDD JAISINGHPUR,DHEMA_324845,INC-1,PANDEY BABA_32483210398PDY,32483210398PDY,11,MIXED ABOVE 25%,OTHERS,RURAL,SECURE,XD450290,0.06,EDD JAISINGHPUR,Active
1236,MADHYANCHAL,AYODHYA,EDC SULTANPUR,EDD JAISINGHPUR,DHEMA_324845,INC-1,BADHOULI_32483210398BDI,32483210398BDI,11,MIXED ABOVE 25%,OTHERS,RURAL,LNT,X1378885,0.06,EDD JAISINGHPUR,InActive
1237,MADHYANCHAL,AYODHYA,EDC SULTANPUR,EDD JAISINGHPUR,KUREBHAR_324845,INC-2,MASHANA NACHANA_32483220400MNA,32483220400MNA,11,MIXED ABOVE 25%,OTHERS,RURAL,SECURE,X1071130,0.06,EDD JAISINGHPUR,Active
1238,MADHYANCHAL,AYODHYA,EDC SULTANPUR,EDD KADIPUR,ALIPUR_324844,INC-1,UNURKHA_32483510402UUA,32483510402UUA,11,MIXED ABOVE 25%,OTHERS,RURAL,LNT,14016724,0.06,EDD KADIPUR,Active
1239,MADHYANCHAL,AYODHYA,EDC SULTANPUR,EDD LAMBHUA,RAMGANJ_324843,INC-2,WORLD BANK_32483420416WDR,32483420416WDR,11,MIXED ABOVE 25%,OTHERS,RURAL,SECURE,XF413252,0.06,EDD LAMBHUA,Active
1240,MADHYANCHAL,AYODHYA,EDC GAURIGANJ,EDD AMETHI,HAL_324852,INC-1,SANJAY GANDHI HOSPITAL_32484220601SDL,32484220601SDL,11,INDEPENDENT,OTHERS,RURAL,SECURE,X986506,1,EDD AMETHI,Active
1241,MADHYANCHAL,AYODHYA,EDC GAURIGANJ,EDD AMETHI,BHETUWA_324852,INC-2,AMAYA MAFI_32484220599AYI,32484220599AYI,11,OTHER,OTHERS,RURAL,SECURE,X1986521,1,EDD AMETHI,Active
