S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
5001,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD CHANDAUSI,KIRARI_120473,INC-2,KIRARI 1_12047391487KIR,12047391487KIR,11,OTHER,OTHERS,RURAL,SECURE,XC408856,2,EDD CHANDAUSI,Active
5002,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD CHANDAUSI,PAWANSA_120473,INC-1,NORTH EAST I_12047391203NR1,12047391203NR1,11,OTHER,OTHERS,RURAL,HPL HTTVM,636778,0.06,EDD CHANDAUSI,Active
5003,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD CHANDAUSI,BAHJOI_10123,INC-3,DR INDUSTRIES_12047330123DRI,12047330123DRI,11,INDEPENDENT,OTHERS,URBAN,LNT,15035733,1,EDD CHANDAUSI,Active
5004,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD CHANDAUSI,POWER HOUSE_10121,INC-2,TOWN 1_12047310121T1A,12047310121T1A,11,OTHER,TEHSIL HQ,TEHSIL,"SECURE, HTTVM",UPU23545,0.06,EDD CHANDAUSI,Active
5005,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,MUBARAKPUR_120411,INC-1,MAU_12041191154MAU,12041191154MAU,11,OTHER,OTHERS,RURAL,"SECURE, HTTVM",HRT79977,2,EDD I MORADABAD,Active
5006,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,MUBARAKPUR_120411,INC-1,RAMPURA PTW_12041191154RAM,12041191154RAM,11,AGRICULTURE,OTHERS,RURAL,"SECURE,HTTVM SECURE,HTTVM SECURE",X1328413,0.12,EDD I MORADABAD,Active
5007,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,MUBARAKPUR_120411,INC-1,MUBARAKPUR PTW_12041191154MUB,12041191154MUB,11,AGRICULTURE,OTHERS,RURAL,"LANDSHTTVM SECURE,HTTVM SECURE",U0238661,0.08,EDD I MORADABAD,Active
5008,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,SIYALI MALA_120411,INC-2,AKBARPUR_12041191168ABR,12041191168ABR,11,OTHER,OTHERS,RURAL,"SECURE, HTTVM",XF412871,0.04,EDD I MORADABAD,Active
5009,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,DEEN BANDHU PURAM_10173,INC-2,SHAHPUR TIGRI_12042130982SHT,12042130982SHT,11,MIXED ABOVE 50%,OTHERS,URBAN,L AND T,UPU23710,0.04,EDD I MORADABAD,Active
5010,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,KUNDERKI_11141,INC-2,SULTANPUR PTW_12041191141SUL,12041191141SUL,11,AGRICULTURE,OTHERS,RURAL,"SECURE, HTTVM",X0314179,1,EDD I MORADABAD,Active
5011,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,TAHARPUR_120411,INC-2,FATEHPUR_12041191163FTR,12041191163FTR,11,OTHER,OTHERS,RURAL,SECURETVVM,XC422564,2,EDD I MORADABAD,Active
5012,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,JANKHEDA ISLAMNAGAR NEW_130163,INC-2,KHAIRSAL_13016390924KRS,13016390924KRS,11,OTHER,OTHERS,RURAL,SECURE,UMV90890,2,EDD RAMPUR MANIHARAN,Active
5013,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,NANAUTA_130163,INC-1,TIKROL_13016390921TIK,13016390921TIK,11,OTHER,OTHERS,RURAL,HRT,76134,1,EDD RAMPUR MANIHARAN,Active
5014,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,MIRZAPUR AMBHETA CHAND_130163,INC-1,KUTHAB_13016390920MZP,13016390920MZP,11,OTHER,OTHERS,RURAL,LNT,X2187322,2,EDD RAMPUR MANIHARAN,Active
5015,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,CHAKWALI_130163,INC-1,UMRI KALA PTW_13016390918UMR,13016390918UMR,11,OTHER,OTHERS,RURAL,SECURE,75938,2,EDD RAMPUR MANIHARAN,Active
5016,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,JARODA PANDA_130163,INC-2,TELFARA_13016390931TIL,13016390931TIL,11,OTHER,OTHERS,RURAL,SECURE,HRT79365,1,EDD RAMPUR MANIHARAN,Active
5017,PASCHIMANCHAL,MUZAFFARNAGAR,EDC II MUZAFFARNAGAR,EDD BUDHANA,ATALI_130271,INC-1,ATALI PTW_13027191436ATG,13027191436ATG,11,AGRICULTURE,OTHERS,RURAL,SECURE,X0431674,0.04,EDD BUDHANA,Active
5018,PASCHIMANCHAL,MUZAFFARNAGAR,EDC II MUZAFFARNAGAR,EDD BUDHANA,JAULA_130271,INC-1,JOGIYA KHEDA T_13027190548JOG,13027190548JOG,11,MIXED ABOVE 25%,OTHERS,RURAL,SECURE,XD433435,1,EDD BUDHANA,Active
5019,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD IV SHAMLI,KHERI KARMU_137453,INC-2,SUBSTATION FEEDER,13745390682SUB,11,OTHER,OTHERS,RURAL,LNT,17213085,1,EDD IV SHAMLI,Active
5020,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD VI GHAZIABAD,VIKRAM ENCLAVE 1_10366,INC-2,DLF 1_15092310366DL1,15092310366DL1,11,MIXED ABOVE 50%,OTHERS,URBAN,SECURE,XC406053,2,EUDD VI GHAZIABAD,Active
5021,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,CHARAN SINGH COLONY_10434,INC-2,BH_15091310434BFR,15091310434BFR,11,Other,DISTRICT HQ,URBAN,SECURE,UPP47329,1,EUDD V GHAZIABAD,Active
