S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
2779,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD CHANDAUSI,PURA_120473,INC-1,PURA PTW_12047391336PUP,12047391336PUP,11,AGRICULTURE,OTHERS,RURAL,"SECURE, HTTVM",XC408868,1,EDD CHANDAUSI,Active
2780,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD CHANDAUSI,TEHSIL CHANDAUSI_10391,INC-1,BADAUN ROAD_12047310391BDR,12047310391BDR,11,OTHER,TEHSIL HQ,TEHSIL,LNT,SS17234299,1,EDD CHANDAUSI,Active
2781,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD CHANDAUSI,HANUMAN GARHI_10120,INC-2,TOWN 2_12047310120TOW,12047310120TOW,11,OTHER,TEHSIL HQ,TEHSIL,"SECURE, HTTVM",XC432769,2,EDD CHANDAUSI,Active
2782,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD CHANDAUSI,BAHJOI_10123,INC-1,DM OFFICE_12047330123DMO,12047330123DMO,11,OTHER,OTHERS,DISTRICT HQ,"SECURE, HTTVM",XD431680,0.04,EDD CHANDAUSI,Active
2783,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,VIVEKANAND_10166,INC-2,VIVEKANAND_12042210166VKD,12042210166VKD,11,MIXED ABOVE 50%,OTHERS,URBAN,"SECURE, HTTVM",XB458855,1,EDD I MORADABAD,Active
2784,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,DEEN BANDHU PURAM_10173,INC-2,BHOLA SINGH KI MILAK_12042130982BSM,12042130982BSM,11,MIXED ABOVE 50%,OTHERS,URBAN,L AND T HTTVTAM,8030882,5,EDD I MORADABAD,Active
2785,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,CHOUDHERPUR INDUSTRIAL_120411,INC-2,CND FEEDER_12041191150CDR,12041191150CDR,11,INDUSTRIAL ABOVE 75%,OTHERS,RURAL,SECURE,U0238581,0.08,EDD I MORADABAD,Active
2786,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,NANPUR_120411,INC-2,FARIDPUR PTW_12041191156FAR,12041191156FAR,11,AGRICULTURE,OTHERS,RURAL,"LANDIS, HTTVM",U0238659,1,EDD I MORADABAD,Active
2787,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,SAHASPUR_120411,INC-2,SEONDARA_12041191143SEO,12041191143SEO,11,OTHER,OTHERS,RURAL,LANDIS HTTVM,U0233153,0.06,EDD I MORADABAD,Active
2788,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,BILARI_120411,INC-2,NOURTH WEST_12041191142NWF,12041191142NWF,11,OTHER,OTHERS,RURAL,"LANDIS, HTTVM",UO233141,0.06,EDD I MORADABAD,Active
