S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
224,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD V TRANSVERNA,LALPUR NEW_40356,INC-3,DDU HASTKALA SANKUL_41432520356DHS,41432520356DHS,11,OTHER,DISTRICT HQ,URBAN,SECURE,X13232354,2,EUDD V TRANSVERNA,InActive
225,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD IV GORAKHPUR,MEDICAL COLLEGE_40140,INC-3,RMRC LAB_43571410140RLB,43571410140RLB,11,INDEPENDENT,DISTRICT HQ,URBAN,LNT,1358846,1,EUDD IV GORAKHPUR,Active
226,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD III BAKRASHPUR,SAHARA ESTATE_40141,INC-2,DIVYA NAGAR SAHARA_43571320141DNS,43571320141DNS,11,OTHER,DISTRICT HQ,URBAN,HPL,353021,0.06,EUDD III BAKRASHPUR,Active
227,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD II GORAKHPUR,KHAJANI_435722,INC-1,UNWAL_43573120891UNL,43573120891UNL,11,OTHER,OTHERS,RURAL,SECURE,X0972013,0.04,EDD II GORAKHPUR,Active
228,POORVANCHAL,BASTI,EDC BASTI,EDD III BASTI,GOTWA_41295,INC-1,GOTWA BAZAR_47532331295GTB,47532331295GTB,11,OTHER,OTHERS,RURAL,SECURE,XD452455,1,EDD III BASTI,Active
229,POORVANCHAL,BASTI,EDC BASTI,EDD III BASTI,GOTWA_41295,INC-1,GANESHPUR_47532331295GNS,47532331295GNS,11,OTHER,OTHERS,RURAL,SECURE,X0890350,1,EDD III BASTI,Active
230,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD HANDIA,KETEHARA_444441,INC-2,DAMGARHA_44443220692DAM,44443220692DAM,11,OTHER,OTHERS,RURAL,HPL,431824,0.06,EDD HANDIA,Active
231,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD FAFAMAU,KAURIHAR_444443,INC-2,J.K_44443310697J.K,44443310697J.K,11,INDEPENDENT,OTHERS,RURAL,SECURE,X0449435,0.03,EDD FAFAMAU,Active
232,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD FAFAMAU,HOLAGARH_444443,INC-4,KASHIPUR_44443320704KAS,44443320704KAS,11,OTHER,OTHERS,RURAL,SECURE,X2317246,1,EDD FAFAMAU,Active
233,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD FAFAMAU,HOLAGARH_444443,INC-1,ALLAHABAD AGRO_44443320704AAG,44443320704AAG,11,INDEPENDENT,OTHERS,RURAL,SECURE,X0393830,0.04,EDD FAFAMAU,Active
234,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD II PRAYAGRAJ,NEW JHUSI_444442,INC-1,ASHRAM_44443121136ASH,44443121136ASH,11,OTHER,OTHERS,TEHSIL,SECURE,X1832906,1,EDD II PRAYAGRAJ,Active
235,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD CHANDAULI,SERUKA_416532,INC-1,SAIYDRAJA NORTH_41658210648SDN,41658210648SDN,11,OTHER,OTHERS,RURAL,SECURE,X1124892,1,EDD CHANDAULI,Active
236,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD MUGHAL SARAI,ALINAGAR_40643,INC-2,RLY DFCCIL_41653110643RLD,41653110643RLD,11,OTHER,DISTRICT HQ,URBAN,SECURE,8907424,2,EDD MUGHAL SARAI,Active
237,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD CHANDAULI,DIGHWAT_41294,INC-1,DIGHWAT_41658211294DGT,41658211294DGT,11,OTHER,OTHERS,RURAL,SECURE,X1986705,2,EDD CHANDAULI,Active
238,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD MAYOHALL,HIGH COURT_41293,INC-1,HIGH COURT_44442311293HRT,44442311293HRT,11,INDEPENDENT,OTHERS,URBAN,SECURE,X1796397,0.2,EUDD MAYOHALL,Active
239,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD II VARANASI,KARSANA_414332,INC-3,CEPET COLLEGE_41432130985CPC,41432130985CPC,11,INDEPENDENT,OTHERS,RURAL,SECURE,SS17042515,1,EDD II VARANASI,Active
240,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD II VARANASI,KARSANA_414332,INC-3,ATAL AWASHIYA_41432130985ATA,41432130985ATA,11,INDEPENDENT,OTHERS,RURAL,SECURE,SS17061463,1,EDD II VARANASI,Active
241,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD I VARANASI,HARAHUA_414331,INC-2,MOHANPUR_41433120981MNR,41433120981MNR,11,OTHER,OTHERS,RURAL,SECURE,SS17134341,1,EDD I VARANASI,Active
242,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD FAFAMAU,MAUAIMA_444443,INC-1,AMANGANJ_44443320702AAG,44443320702AAG,11,OTHER,OTHERS,RURAL,SECURE,X2317330,2,EDD FAFAMAU,Active
243,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD HANDIA,HANDIA TAHSIL_444441,INC-1,FAIR STATION_44443211138FIR,44443211138FIR,11,OTHER,TEHSIL HQ,RURAL,SECURE,XD432835,1,EDD HANDIA,Active
244,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD CHIRAIGAON,CHAHI_414333,INC-2,BHAGWATI DHAM_41433311005BHA,41433311005BHA,11,OTHER,OTHERS,RURAL,SECURE,UPP57381,2,EDD CHIRAIGAON,Active
245,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD I AZAMGARH,OLD JAIL_44050,INC-1,DM OFFICE_42601124050DMO,42601124050DMO,11,INDEPENDENT,DISTRICT HQ,URBAN,SECURE,X0332268,1,EDD I AZAMGARH,Active
246,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD BANSI,PATHARA_435322,INC-2,MITHAWAL_47533110801MTW,47533110801MTW,11,OTHER,OTHERS,RURAL,SECURE,X0440856,1,EDD BANSI,Active
