S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
1374,DAKSHINANCHAL,KANPUR-II,EDC FARRUKHABAD,EDD FARRUKKHABAD,JAHANGANJ_222921,INC-2,BAHORIKPUR_22292292322BAH,22292292322BAH,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,UPP59617,4,EDD FARRUKKHABAD,Active
1375,DAKSHINANCHAL,KANPUR-II,EDC FARRUKHABAD,EDD FARRUKKHABAD,JAHANGANJ_222921,INC-1,COLD_22292292322COL,22292292322COL,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,16087661,1,EDD FARRUKKHABAD,Active
1376,DAKSHINANCHAL,KANPUR-II,EDC ETAWAH,EDD III SAIFAI,BHARTIYA KOHTI_24384,INC-1,KUDRAIL PTW_22303234384KLP,22303234384KLP,11,AGRICULTURE,OTHERS,RURAL,LNT,13077042,1,EDD III SAIFAI,Active
1377,DAKSHINANCHAL,KANPUR-II,EDC ETAWAH,EDD III SAIFAI,NAGRIYA SARAWA_24701,INC-1,SAMTHAR NEW_22303234701SMN,22303234701SMN,11,MIXED ABOVE 50%,OTHERS,RURAL,LNT,13077039,1,EDD III SAIFAI,Active
1378,DAKSHINANCHAL,KANPUR-II,EDC ETAWAH,EDD III SAIFAI,PARSANA_24760,INC-1,MOHATTI_22303224760MOH,22303224760MOH,11,MIXED ABOVE 50%,OTHERS,RURAL,LNT,14088169,1,EDD III SAIFAI,Active
1379,DAKSHINANCHAL,KANPUR-II,EDC ETAWAH,EDD III SAIFAI,FATEHPURA_24473,INC-1,FATEHPURA+SUB STATION_22303214473FTH,22303214473FTH,11,MIXED ABOVE 50%,OTHERS,RURAL,LNT,15035536,1,EDD III SAIFAI,Active
1380,DAKSHINANCHAL,KANPUR-II,EDC ETAWAH,EDD III SAIFAI,SAIFAI 3_24821,INC-1,JHABRA_22303224821JAA,22303224821JAA,11,MIXED ABOVE 50%,OTHERS,RURAL,LNT,X0354590,20,EDD III SAIFAI,Active
1381,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD KANPUR DEHAT,DERAPUR_24448,INC-2,FATTEPUR (PTW)_22336134448FAT,22336134448FAT,11,AGRICULTURE,OTHERS,RURAL,ELECTRONIC,X0727284,0.04,EDD KANPUR DEHAT,Active
1382,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD KANPUR DEHAT,BARA_24347,INC-3,PTARI_22336124347PTR,22336124347PTR,11,OTHER,OTHERS,RURAL,ELECTRONIC,XB476473,2,EDD KANPUR DEHAT,Active
1383,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD KANPUR DEHAT,BARA_24347,INC-1,INDUSTRIAL-2_22336124347IN2,22336124347IN2,11,INDUSTRIAL ABOVE 75%,OTHERS,RURAL,ELECTRONIC,X2144459,0.06,EDD KANPUR DEHAT,Active
1384,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD KANPUR DEHAT,BARA_24347,INC-1,AKBARPUR_22336124347AKB,22336124347AKB,11,OTHER,OTHERS,RURAL,ELECTRONIC,20248946,2,EDD KANPUR DEHAT,Active
1385,DAKSHINANCHAL,KANPUR-II,EDC ETAWAH,EDD III SAIFAI,SAIFAI 2_24820,INC-2,HAWAI PATTI_22303224820HPT,22303224820HPT,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,X1443500,40,EDD III SAIFAI,Active
1386,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD PUKHRAYAN,NONAPUR_24729,INC-3,NONAPUR AGRI_22336324729NRA,22336324729NRA,11,AGRICULTURE,OTHERS,RURAL,ELECTRONIC,13003358,2,EDD PUKHRAYAN,Active
1387,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD KANPUR DEHAT,RANIA_24793,INC-3,MONTORA OIL_22336114793MAO,22336114793MAO,11,INDEPENDENT,OTHERS,RURAL,ELECTRONIC,X0354621,0.08,EDD KANPUR DEHAT,Active
1388,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD KANPUR DEHAT,JAINPUR_24534,INC-2,INDUSTRIAL-1_22336124534IN1,22336124534IN1,11,INDUSTRIAL ABOVE 75%,OTHERS,RURAL,ELECTRONIC,17128713,4,EDD KANPUR DEHAT,Active
1389,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD JASRANA,MUSTAFABAD_24685,INC-2,MUSTAFABAD RURAL_25163524685MDR,25163524685MDR,11,Other,OTHERS,RURAL,SECURE,UPP66509,2,EDD JASRANA,Active
