S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
50,KESCO,KESCO,CIRCLE II,DADA NAGAR,MEETA SARAI,INC-2,LPG 3,51332120038B33,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X0362110,0.04,DADA NAGAR,Active
51,KESCO,KESCO,CIRCLE II,DADA NAGAR,MEETA SARAI,INC-2,LPG 1,51332120038B29,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X0362109,0.04,DADA NAGAR,Active
52,KESCO,KESCO,CIRCLE II,DADA NAGAR,MEETA SARAI,INC-2,BAJRANGBALI,51332120038B26,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X0362111,0.04,DADA NAGAR,Active
53,KESCO,KESCO,CIRCLE II,DADA NAGAR,MEETA SARAI,INC-1,G 34 MEETA SARAI,51332120038B28,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X0362112,0.08,DADA NAGAR,Active
54,KESCO,KESCO,CIRCLE II,DADA NAGAR,MEETA SARAI,INC-1,G 29 MEETA SARAI,51332120038B19,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X0362205,0.04,DADA NAGAR,Active
55,KESCO,KESCO,CIRCLE II,DADA NAGAR,MEETA SARAI,INC-1,G 27 MEETA SARAI,51332120038B15,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X0362206,0.04,DADA NAGAR,Active
56,KESCO,KESCO,CIRCLE II,GUMTI,FAZAL GANJ,INCOMING-III (G-4),CPWD,51332210040F41,11,MIXED ABOVE 50%,DISTRICT HQ,IPDS,SECURE,HRT95315,0.06,GUMTI,Active
57,KESCO,KESCO,CIRCLE II,WORLD BANK BARRA,GUJAINI,INC-2,SUB STATION FEEDER GUJAINI,51332520053Q22,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X0271160,1,WORLD BANK BARRA,InActive
58,KESCO,KESCO,CIRCLE II,DADA NAGAR,DADA NAGAR,INC-3,K D FEEDER,51332110035B60,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X0271136,1,DADA NAGAR,Active
59,KESCO,KESCO,CIRCLE II,DADA NAGAR,DADA NAGAR,INC-3,B-BLOCK,51332110035B17,11,INDUSTRIAL ABOVE 75%,DISTRICT HQ,IPDS,SECURE,X0271171,1,DADA NAGAR,Active
