S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
3180,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,BUXIPUR NEW_44038,INC-1,NIJAMPUR_43571214038NJP,43571214038NJP,11,OTHER,DISTRICT HQ,URBAN,SECURE,XE471935,0.06,EUDD II BUXIPUR,Active
3181,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,VIKAS NAGAR_40135,INC-1,BUDDHA_43571220135BUD,43571220135BUD,11,OTHER,OTHERS,URBAN,LNT,16055995,1,EUDD II BUXIPUR,Active
3182,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,SURAJ KUND_40131,INC-3,SURYA VIHAR_43571210131SRV,43571210131SRV,11,OTHER,DISTRICT HQ,URBAN,LNT,18017456,0.04,EUDD II BUXIPUR,Active
3183,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,DURGABARI_40133,INC-2,ANDHIYARI BAGH_43571210133AND,43571210133AND,11,OTHER,OTHERS,URBAN,LNT,18017402,1,EUDD II BUXIPUR,Active
3184,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD I TOWN HALL,RUSTAMPUR_40125,INC-1,TOWNHALL_43571110125TOW,43571110125TOW,11,OTHER,DISTRICT HQ,URBAN,LNT,15094549,2,EUDD I TOWN HALL,Active
3185,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD I TOWN HALL,UNIVERSITY_40127,INC-3,VENUS_43571120127VEN,43571120127VEN,11,OTHER,DISTRICT HQ,URBAN,SECURE,XB404075,1,EUDD I TOWN HALL,Active
3186,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD BARHAJ,BARHAJ TAHSIL_40118,INC-1,GAURA JAINAGAR_43593190118GAU,43593190118GAU,11,OTHER,TEHSIL HQ,URBAN,LNT,14037003,1,EDD BARHAJ,Active
3187,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD BARHAJ,BARHAJ OLD_435931,INC-1,BHRAULI (NORTH)_43593310930BHA,43593310930BHA,11,OTHER,OTHERS,RURAL,SECURE,X0394527,0.06,EDD BARHAJ,Active
3188,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD GAURI BAZAR,SIRSIYA_435935,INC-1,SIRSIYA_43593410922SIS,43593410922SIS,11,OTHER,OTHERS,RURAL,SECURE,X0394512,0.06,EDD GAURI BAZAR,Active
3189,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD GAURI BAZAR,RUDRAPUR TAHSIL_435935,INC-1,BABA DUGDHESHWAR NATH_43593420929BAB,43593420929BAB,11,OTHER,OTHERS,RURAL,SECURE,X2249172,0.03,EDD GAURI BAZAR,Active
3190,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD GAURI BAZAR,RUDRAPUR_435935,INC-1,EAST_43593420925EAS,43593420925EAS,11,OTHER,OTHERS,RURAL,SECURE,XC1440625,1,EDD GAURI BAZAR,Active
3191,POORVANCHAL,GORAKHPUR-II,EDC KUSHINAGAR,EDD PADRAUNA,PADRAUNA_40143,INC-1,PARSAUNI KALA_43593310143PSK,43593310143PSK,11,MIXED ABOVE 50%,DISTRICT HQ,URBAN,SECURE,UPP56992,2,EDD PADRAUNA,Active
3192,POORVANCHAL,GORAKHPUR-II,EDC KUSHINAGAR,EDD PADRAUNA,KOTAWA_435933,INC-2,KOTWA_43594120880KTW,43594120880KTW,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,UPP58716,1,EDD PADRAUNA,Active
3193,POORVANCHAL,GORAKHPUR-II,EDC KUSHINAGAR,EDD PADRAUNA,KUBERSTHAN_435933,INC-2,TURKPATI_43594120877TUR,43594120877TUR,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,X0121675,0.06,EDD PADRAUNA,Active
3194,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD SALEMPUR,MAJHAULI RAJ_435934,INC-1,MAHUBAARI_43593110914MAU,43593110914MAU,11,OTHER,OTHERS,RURAL,SECURE,UPP57199,1,EDD SALEMPUR,Active
3195,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD DEORIA,KABILASWA_435932,INC-1,PATHERDEVA BAZAR_43593220908PAT,43593220908PAT,11,OTHER,OTHERS,RURAL,LT,14088256,2,EDD DEORIA,Active
3196,POORVANCHAL,GORAKHPUR-I,EDC I GORAKHPUR,EDD CAMPIEARGANJ,SONAURA_435743,INC-1,BALUWA_43572310866BAL,43572310866BAL,11,OTHER,OTHERS,RURAL,SECURE,X1467681,1,EDD CAMPIEARGANJ,Active
3197,POORVANCHAL,GORAKHPUR-I,EDC I GORAKHPUR,EDD CHAURI CHAURA,KV AMHIYA_435742,INC-1,GAHIRA NORTH_43572211173GAN,43572211173GAN,11,OTHER,OTHERS,RURAL,X1084918,SECURE,1,EDD CHAURI CHAURA,Active
