S.No.,Zone,Circle,Division,Substation,Feeder/Bay,Energy Meter Serial No.,Interface Type,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
49,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,63MVA T/F II,UP-0035A,T-D,June,2024,0,15502.08,PALIYA BUJURG_444133,3225,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,SULTAANPUR GHOSH_444133,4495,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,KHARSERWA_444133,1591,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,LATIFPUR_444133,1709,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,SITHAURA_444133,1612,EDD KHAGA,POORVANCHAL
54,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,KHAGA RURAL BAY,UPP26147,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
56,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,KHAKHRERU BAY,UPP26149,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
58,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,KHAGA TOWN BAY,7252873,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
60,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,SULTANPUR GHOSE,5268013,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
62,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,SITHAURA,5268011,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
64,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,MAHICHAMANDIR,Y0197648,T-D,June,2024,0,2031.6,,,,
65,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,KISHANPUR,Y0197649,T-D,June,2024,0,3576.2,,,,
66,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,CHAUKI CHAURAHA,Y0197590,T-D,June,2024,0,1222.4,,,,
67,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,BUS COUPLER,5268012,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
69,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,40 MVA T/F,UP-1448A,T-D,June,2024,0,5689.2,KISHANPUR_444133,3576,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,MAHICHA MANDIR_444133,1354,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,CHAUKI CHAURAHA_444133,1222,EDD KHAGA,POORVANCHAL
72,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,Rasoolpur sani,7252877,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
74,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,HATHGAON1,23000820.1,T-D,June,2024,0,4947,,,,
75,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,JOGAPUR PUMP CANAL,13193463,T-D,June,2024,0,63.4,,,,
76,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,DISTRICT COURT,13194290,T-D,June,2024,0,29.2,,,,
77,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,PASHCHIM SHARIRA,KAU06602,T-D,June,2024,0,5170.4,PACHIM SARIRA_444312,4136.32,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,MAHEWA GHAT - SHAHPUR_444312,1034.8,EDD KAUSHAMBI,POORVANCHAL
79,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,DEVKHARPUR,KAU06617,T-D,June,2024,0,789.5,DEVKHAR PUR_444312,789.5,EDD KAUSHAMBI,POORVANCHAL
80,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,MANJHANPUR-1,KAU06612,T-D,June,2024,0,6556,POLICE LINE_444312,1639,EDD KAUSHAMBI,POORVANCHAL
81,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,BHARSAWA,10291383,T-D,June,2024,0,0,BHARSAWA_444312,1665,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,BHARSAWA_444312,1665,EDD KAUSHAMBI,POORVANCHAL
83,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,KARARI,10291253,T-D,June,2024,0,0,KARARI_444312,3384,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,KARARI_444312,3384,EDD KAUSHAMBI,POORVANCHAL
85,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,BALAKMAU,UPP39524,T-D,June,2024,0,0,BALAKMAU_444312,1068.18,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,BHARWARI NEW_444311,1944.82,EDD CHAYAL,POORVANCHAL
,,,,,,,,,,,,BALAKMAU_444312,1068.18,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,BHARWARI NEW_444311,1944.82,EDD CHAYAL,POORVANCHAL
89,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,MANJHANPUR-2,13195227,T-D,June,2024,0,1583.8,MANJHANPUR TAHSIL_444312,1583.8,EDD KAUSHAMBI,POORVANCHAL
90,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,BAISKANTI,13195261,T-D,June,2024,0,1400,VAISHKATI_444312,1400,EDD KAUSHAMBI,POORVANCHAL
91,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S SIRATHU,33 KV BHARWARI FEEDER,13193419,T-D,June,2024,0,0,BHARWARI_444311,2801.6,EDD CHAYAL,POORVANCHAL
92,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S SIRATHU,33 KV KAMALPUR FEEDER,13193529,T-D,June,2024,0,0,KAMALPUR_444312,3829.6,EDD KAUSHAMBI,POORVANCHAL
93,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S SIRATHU,33 KV KURA MURIDAN FEEDER,5268022,T-D,June,2024,0,0,SIRATHU_444312,4035,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,SIRATHU_444312,4035,EDD KAUSHAMBI,POORVANCHAL
95,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S SIRATHU,33 KV DHATA FEEDER,6489662,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
97,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S SIRATHU,33 KV KISHANPUR FEEDER,UPP26639,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
100,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S SIRATHU,33 KV SIRATHU FEEDER,5268018,T-D,June,2024,0,0,TAHSIL SIRATHU_444312,2063,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,TAHSIL SIRATHU_444312,2063,EDD KAUSHAMBI,POORVANCHAL
102,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S SIRATHU,33 KV SAINI FEEDER,6767608,T-D,June,2024,0,0,AJUHA TWON_444312,984.72,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,SAINI (NARSINGHPUR KACHHUWA)_444312,1969.44,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,AJUHA_444312,1148.84,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,AJUHA TWON_444312,984.72,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,SAINI (NARSINGHPUR KACHHUWA)_444312,1969.44,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,AJUHA_444312,1148.84,EDD KAUSHAMBI,POORVANCHAL
108,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S SIRATHU,33 KV GHATMAPUR FEEDER,5268020,T-D,June,2024,0,0,GHATMAPUR_444312,1751.5,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,GHATMAPUR_444312,1751.5,EDD KAUSHAMBI,POORVANCHAL
110,SOUTH-EAST,ETC Prayagraj-II,ETD Prayagraj-II,132KV S/S KARELI,33KV KARELI-I,X1836163,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
112,SOUTH-EAST,ETC Prayagraj-II,ETD Prayagraj-II,132KV S/S KARELI,33KV KARELI-II,X1836169,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
114,SOUTH-EAST,ETC Prayagraj-II,ETD Prayagraj-II,132KV S/S KARELI,33KV NEW KHUSHROBAGH,X1836173,T-D,June,2024,0,3505.5,,,,
115,SOUTH-EAST,ETC Prayagraj-II,ETD Prayagraj-II,132KV S/S KARELI,33KV OLD KHUSHROBAGH,X1836172,T-D,June,2024,0,2229.5,,,,
116,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV BHADAINI,7041835,T-D,June,2024,0,8625.6,BHADAINI_40002,12149.5,EUDD I BHELUPUR,POORVANCHAL
117,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV GODAULIA,7360722,T-D,June,2024,0,7715,GADOLIA_40011,7715,EUDD I BHELUPUR,POORVANCHAL
,,,,,,,,,,,,CHOWK_44045,3346,EUDD III MACHODARI,POORVANCHAL
119,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV KABIR NAGAR,7360710,T-D,June,2024,0,4747.4,KABIR NAGAR_40149,4747,EUDD IV CHETMANI,POORVANCHAL
120,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV NAGAR NIGAM,7041857,T-D,June,2024,0,8197.4,,,,
121,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV JAL SANSTHAN,7360719,T-D,June,2024,0,0,SHANKUL DHARA_40023,15416.6,EUDD I BHELUPUR,POORVANCHAL
,,,,,,,,,,,,SHANKUL DHARA_40023,15416.6,EUDD I BHELUPUR,POORVANCHAL
123,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV Bhelupur,10291336,T-D,June,2024,0,8430.6,BHELUPUR_40003,8430.6,EUDD I BHELUPUR,POORVANCHAL
124,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV Shankuldhara,10291370,T-D,June,2024,0,7316.6,,,,
125,SOUTH-EAST,ETC Varanasi,ETD Varanasi,220KV S/S BHELUPUR,33KV T/F BUS-COUPLER,10291371,T-D,June,2024,0,0,,,,
