S.No.,Discom,Zone,Circle,Division,33KV-AboveConsumerFeeder,FeederCode,Category,SupplyArea,ProjectArea,FeederVoltage,Meter-MakeType,Meter-SlNo,OverallMF,Status
569,DAKSHINANCHAL,KANPUR-I,EDC KANPUR,EDD GHATAMPUR,33 KV NAVELI 1 NAVELI 2_26282NA2,26282NA2,INDEPENDENT,OTHERS,URBAN,33,GENUS/ELECTRONIC,8351315,0.1,Active
570,DAKSHINANCHAL,KANPUR-I,EDC KANPUR,EDD GHATAMPUR,33 KV NAVELI 1 NAVELI 2_26281NA1,26281NA1,INDEPENDENT,OTHERS,URBAN,33,GENUS/ELECTRONIC,8060325,0.1,Active
571,DAKSHINANCHAL,KANPUR-I,EDC KANPUR,EDD GHATAMPUR,33 KV S.P.C._26282SPC,26282SPC,INDEPENDENT,OTHERS,RURAL,33,SECURE/ELECTRONIC,U0260786,0.08,Active
572,DAKSHINANCHAL,KANPUR-I,EDC KANPUR,EDD GHATAMPUR,33 KV S.P.C._26281SPC,26281SPC,INDEPENDENT,OTHERS,RURAL,33,SECURE/ELECTRONIC,UPC23749,0.16,Active
573,DAKSHINANCHAL,KANPUR-II,EDC AURAIYA,EDD AURAIYA,33 KV DIST. COURT_26259DSC,26259DSC,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0277118,0.02,Active
574,DAKSHINANCHAL,KANPUR-II,EDC AURAIYA,EDD AURAIYA,33 KV DISTRICT HOSPITAL,26259AR1,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UMD03435,0.03,Active
575,DAKSHINANCHAL,KANPUR-II,EDC AURAIYA,EDD AURAIYA,220 KV NTPC GAIL PATA_26258NTP,26258NTP,INDEPENDENT,DISTRICT HQ,URBAN,220,SECURE,Q0506032,3.333,Active
576,DAKSHINANCHAL,JHANSI,EUDC JHANSI,EUDD II JHANSI,33 KV BIJAULI INDUSTRIAL_26400BLI,26400BLI,INDEPENDENT,OTHERS,URBAN,33,GENUSE,AAB4007,0.03,Active
577,DAKSHINANCHAL,BANDA,EDC BANDA,EUDD BANDA,33 KV MEDICAL COLLEGE_26419MDC,24391192311MCG,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0277074,0.12,Active
578,DAKSHINANCHAL,BANDA,EDC BANDA,EUDD BANDA,33 KV BALAJE PUMP CANAL_26419BPC,24391192311BPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,UMD03498,100,Active
579,DAKSHINANCHAL,BANDA,EDC BANDA,EUDD BANDA,33 KV AGRICULTURE UNIVERSITY_26419ARU,24391192311AGU,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X1586157,0.5,Active
580,DAKSHINANCHAL,BANDA,EDC BANDA,EUDD BANDA,33 KV DISTRICT HOSPITAL_26419DHP,24391192901DHO,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0277075,30,Active
581,DAKSHINANCHAL,BANDA,EDC BANDA,EUDD BANDA,33 KV NYAYALAY_26405NYL,24391192900NYA,INDEPENDENT,DISTRICT HQ,URBAN,33,GENUS,8588433,1,Active
582,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD TUNDLA,33 KV D S RAILWAY_26408DRL,26408DRL,INDEPENDENT,OTHERS,RURAL,33,LNT,14192987,2,Active
583,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD SHIKOHABAD,33 KV DISTRICT HOSPITAL_26416DHP,26416DHP,INDEPENDENT,TEHSIL HQ,URBAN,33,SECURE,220197625,2,Active
584,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD SHIKOHABAD,33 KV S R PAPER MILL_26416SRP,26416SRP,INDEPENDENT,OTHERS,RURAL,33,SECURE,5249758,0.03,Active
585,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD SHIKOHABAD,33 KV MAA KAILA FOUNDARY_26416MKF,26416MKF,INDEPENDENT,OTHERS,RURAL,33,GENUS,9577748,0.5,Active
586,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD SHIKOHABAD,33 KV PRAHLAD ISPAT_26416PRI,26416PRI,INDEPENDENT,OTHERS,RURAL,33,SECURE,5130782,0.06,Active
587,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD III ALIGARH,33 KV GRASIM_26418GRM,26418GRM,INDEPENDENT,OTHERS,RURAL,132,SECURE,UPP68834,120,Active
588,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD III ALIGARH,33 KV JK CEMENT_26402JKC,26402JKC,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP68518,120,Active
589,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD III ALIGARH,33 KV MANKAMESHWAR_26407MNK,26407MNK,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP68968,0.06,Active
590,DAKSHINANCHAL,AGRA,EDC FATEHABAD,EDD III AGRA,33 KV SEVER PLANT_26422SPL,26422SPL,INDEPENDENT,OTHERS,URBAN,33,SECURE,XB577639,4,Active
591,DAKSHINANCHAL,AGRA,EDC FATEHABAD,EDD III AGRA,33 KV MAHESH EDIBLE_26422MAE,26422MAE,INDEPENDENT,OTHERS,RURAL,33,LNT,95777430,60,Active
592,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD II ORAI,33 KV PTC_26410PTC,26410PTC,INDEPENDENT,OTHERS,RURAL,33,GENUS,8060463,0.2,Active
593,DAKSHINANCHAL,BANDA,EDC CHITRAKOOT,EDD II CHITRAKOOT,33 KV DIST JAIL_26406DIJ,26406DIJ,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),OTHERS,RURAL,33,SECURE,UMD03486,0.05,Active
594,DAKSHINANCHAL,BANDA,EDC CHITRAKOOT,EDD II CHITRAKOOT,33 KV CHILLIMAL_26406CHM,26406CHM,TAPPED(WITH OTHER CONSUMER FEEDER),OTHERS,RURAL,33,SECURE,ABC1234,2,Active
595,DAKSHINANCHAL,BANDA,EDC CHITRAKOOT,EDD II CHITRAKOOT,33 KV SIRAWAL_26414SIR,26414SIR,INDEPENDENT,OTHERS,RURAL,33,SECURE,ABC1234,0.25,Active
596,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD II ALIGARH,33 KV UBIO_26418UBO,26418UBO,INDEPENDENT,OTHERS,URBAN,33,UPP26631,SECURE,2,Active
597,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD I ORAI,33 KV PCIL_26421PCL,26421PCL,INDEPENDENT,OTHERS,RURAL,33,GENUS,8060358,0.025,Active
598,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD I ORAI,33 KV MEDICAL COLLEGE_26413MDC,26413MDC,INDEPENDENT,OTHERS,URBAN,33,GENUS,X2284566,0.1,Active
599,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD I ORAI,33 KV HINDUSTAN LTD_26413HNL,26413HNL,INDEPENDENT,OTHERS,URBAN,33,SECURE,Q0507009,0.04,Active
600,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD I ORAI,33 KV DISTRICT HOSPITAL_26413DSH,26413DSH,INDEPENDENT,OTHERS,URBAN,33,GENUS,8060360,0.03,Active
601,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD I ORAI,33 KV DISTT. HOSPITAL_26413DSH,26413DSH,INDEPENDENT,OTHERS,URBAN,33,GENUS,8060361,0.03,Active
602,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD I ORAI,33 KV INDUSTRIAL_26421IND,26421IND,INDEPENDENT,OTHERS,URBAN,33,SECURE,Q0507007,0.06,Active
603,DAKSHINANCHAL,BANDA,EDC CHITRAKOOT,EDD I CHITRAKOOT,33 KV DIST HOSPITAL,26406SIR,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),DISTRICT HQ,DISTRICT HQ,33,GENUS,8588507,1,Active
604,DAKSHINANCHAL,BANDA,EDC CHITRAKOOT,EDD I CHITRAKOOT,33 KV KHOH_26406KOH,26406KOH,INDEPENDENT,TEHSIL HQ,URBAN,33,SECURE,UPP40697,1,Active
605,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD I ALIGARH,33 KV RATHI_26409RTH,26409RTH,INDEPENDENT,OTHERS,RURAL,33,SECURE,XB465231,30,Active
606,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD I ALIGARH,33 KV AL-HAMD_26415ALH,26415ALH,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPO32019,0.5,Active
607,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD I ALIGARH,33 KV BHOLE BABA _26415BHB,26415BHB,INDEPENDENT,OTHERS,RURAL,33,SECURE,U0153213,0.03,Active
608,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD I ALIGARH,33 KV HMA_26401HMA,26401HMA,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPO08631,0.03,Active
609,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD I ALIGARH,33 KV ALLANA_26401ALN,26401ALN,INDEPENDENT,OTHERS,RURAL,33,SECURE,XC242222,0.06,Active
610,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD I ALIGARH,33 KV AL-HASAN_26401ASN,26401ASN,INDEPENDENT,OTHERS,RURAL,33,SECURE,XB465257,0.063,Active
611,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD FIROZABAD,33 KV MODERN GLASS_26420MDG,26420MDG,INDEPENDENT,OTHERS,RURAL,33,SECURE,Q0505939,0.05,Active
612,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD FIROZABAD,33 KV MEDICAL COLLEGE FIROZABAD_26411MCF,26411MCF,INDEPENDENT,OTHERS,RURAL,33,LNT,15197330,120,Active
613,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD FIROZABAD,33 KV PGCIL_26412PGL,26412PGL,INDEPENDENT,OTHERS,RURAL,33,SECURE,8351334,0.02,Active
614,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD FIROZABAD,33 KV DABARAI COURT_26412DBC,26412DBC,INDEPENDENT,DISTRICT HQ,DISTRICT HQ,33,ELESTER,52267384,2,Active
615,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD FIROZABAD,33 KV GOYAL GLASS_26420GLG,26420GLG,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0087634,0.1,Active
616,DAKSHINANCHAL,AGRA,EDC FATEHABAD,EDD ETMADPUR,33 KV HMA_26408HAM,26408HAM,INDEPENDENT,OTHERS,RURAL,33,GENUS,8351327,0.03,Active
617,DAKSHINANCHAL,AGRA,EDC FATEHABAD,EDD ETMADPUR,33 KV IOCL_26408ICL,26408ICL,INDEPENDENT,OTHERS,IPDS,33,SECURE,X1305621,1,Active
618,DAKSHINANCHAL,BANDA,EDC BANDA,EDD ATARRA,33 KV GUDHA PUMP CANAL_26403GPC,26403GPC,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),OTHERS,RURAL,33,SECURE,X0087468,10,Active
619,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD VIII KAJJAKPURA,33 KV KONIYA II_41058KN3,41058KN3,INDEPENDENT,OTHERS,URBAN,33,L AND T METERS,13285706,0.03,Active
620,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD VIII KAJJAKPURA,33 KV KONIYA II_41058KN2,41058KN2,INDEPENDENT,OTHERS,URBAN,33,"SECURE METERS LIMITED,UDAIPUR",X0384586,0.1,Active
621,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD VIII KAJJAKPURA,33 KV KONIYA II_41058KN1,41058KN1,INDEPENDENT,OTHERS,URBAN,33,L AND T METERS,'13285768,0.1,Active
622,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD VII MADHAULI,33 KV NER_41037NER,41037NER,INDEPENDENT,OTHERS,URBAN,33,SECURE,XC436150,50,Active
623,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD VII MADHAULI,33 KV H.B.C.H_41037HBH,41037HBH,INDEPENDENT,OTHERS,URBAN,33,SECURE,X0384582,1,Active
624,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD VII MADHAULI,33 KV NKVP_41007NKP,41007NKP,INDEPENDENT,,,33,,,,InActive
625,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD VII MADHAULI,33 KV SIGRA-II_41007GR1,41007GR1,INDEPENDENT,,,33,,,,InActive
626,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD V TRANSVERNA,33 KV PANALALPARK_41069PAN,41069PAN,INDEPENDENT,OTHERS,URBAN,33,"SECURE METERS LIMITED,UDAIPUR",UMV79277,2,Active
627,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD V TRANSVERNA,33 KV PANDEYPUR_41069PND,41069PND,INDEPENDENT,OTHERS,URBAN,33,"SECURE METERS LIMITED,UDAIPUR",UMV74985,2,Active
628,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD V TRANSVERNA,33 KV TARNA_41080TAR,41080TAR,INDEPENDENT,OTHERS,URBAN,33,"SECURE METERS LIMITED,UDAIPUR",XE479635,0.015,Active
629,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD V TRANSVERNA,33 KV BADALALPUR_41080BAD,41080BAD,INDEPENDENT,OTHERS,URBAN,33,"SECURE METERS LIMITED,UDAIPUR",X1332354,0.1,Active
630,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33 KV NEW MES_41073NMS,41073NMS,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1186275,4,Active
631,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33 KV GE EAST_41068GEE,41068GEE,INDEPENDENT,OTHERS,URBAN,33,ELSTER,5268019,2,Active
632,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33 KV UNIVERSITY_41068UNV,41068UNV,INDEPENDENT,OTHERS,URBAN,33,ELSTER,5268023,2,Active
633,POORVANCHAL,PRAYAGRAJ-I,EUDC I PRAYAGRAJ,EUDD NAINI,33 KV JAIL ROAD_41050JLR,41050JLR,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPU24820,0.015,InActive
634,POORVANCHAL,PRAYAGRAJ-I,EUDC I PRAYAGRAJ,EUDD NAINI,33 KV NIC1_41050NIC,41050NIC,INDEPENDENT,,,33,,,,InActive
635,POORVANCHAL,PRAYAGRAJ-I,EUDC I PRAYAGRAJ,EUDD NAINI,33 KV REYMONDS_41050RYM,41050RYM,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPU24773,0.06,Active
636,POORVANCHAL,PRAYAGRAJ-I,EUDC I PRAYAGRAJ,EUDD NAINI,33 KV HRI_41024HRI,41024HRI,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UP-7305A,60,Active
637,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD IV GORAKHPUR,33 KV V N DYER_41016VN2,41016VN2,INDEPENDENT,DISTRICT HQ,URBAN,33,GENUS,A302824,60,Active
638,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD IV GORAKHPUR,33 KV JCC_41016JCC,41016JCC,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPU24695,0.15,Active
639,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD IV GORAKHPUR,33 KV MEDICAL_41016MDL,41016MDL,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),DISTRICT HQ,URBAN,33,SECURE,UPU24621,0.075,Active
640,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD IV CHETMANI,33 KV CANCER HOSP_41005CSH,41005CSH,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1186271,2,Active
641,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD IV CHETMANI,33 KV LBS_41086LBS,41086LBS,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP39587,0.06,Active
642,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD IV CHETMANI,33 KV IT-II_41005IT2,41005IT2,INDEPENDENT,OTHERS,URBAN,33,LNT,9540017,1,Active
643,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD IV CHETMANI,33 KV IT-I_41005IT1,41005IT1,INDEPENDENT,OTHERS,URBAN,33,LNT,9540023,1,Active
644,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD IV CHETMANI,33 KV T/F-2_41005TF2,41005TF2,INDEPENDENT,OTHERS,URBAN,33,SECURE,ABB01017,1,Active
645,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD IV CHETMANI,33 KV T/F-1_4100TF1,4100TF1,INDEPENDENT,OTHERS,URBAN,33,SECURE,ABB01019,1,Active
646,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD III MACHODARI,33 KV KASHI-I II_41058KS2,41058KS2,INDEPENDENT,OTHERS,URBAN,33,"SECURE METERS LIMITED,UDAIPUR",Q0436353,0.05,Active
647,POORVANCHAL,VARANASI-I,EUDC II VARANASI,EUDD III MACHODARI,33 KV KASHI-I II_41058KS1,41058KS1,INDEPENDENT,OTHERS,URBAN,33,"SECURE METERS LIMITED,UDAIPUR",'Q0436348,0.025,Active
648,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD III BAKRASHPUR,33 KV GRD_41044GRD,41044GRD,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPU24718,0.05,Active
649,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD III BAKRASHPUR,33 KV LOCO SHADE_41043LCO,41043LCO,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPU24812,0.04,Active
650,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD III BAKRASHPUR,33 KV BIG BAZAR_41043BBG,41043BBG,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPU24661,0.025,Active
651,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD III BAKRASHPUR,33 KV AIIMS_41043AIM,41043AIM,INDEPENDENT,,,33,,,,InActive
652,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD III BAKRASHPUR,33 KV AIIMS_41044AIM,41044AIM,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPU24729,0.1,Active
653,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,33 KV HURL CKT-II LINE_41016HC2,41016HC2,INDEPENDENT,,,33,,,,InActive
654,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,33 KV HURL CKT-I LINE_41016HC1,41016HC1,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPP69885,1,Active
655,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,33 KV V N DYER_41016VND,41016VND,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPP68599,18,Active
656,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,33 KV ANKUR_41016ANK,41016ANK,INDEPENDENT,DISTRICT HQ,URBAN,33,GENUS,A3028323,45,Active
657,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,33 KV CITY_41016CTY,41016CTY,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),DISTRICT HQ,URBAN,33,SECURE,UPU24697,0.05,Active
658,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD I TOWN HALL,33 KV TOWNHALL_41043TW3,41043TW3,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),DISTRICT HQ,URBAN,33,SECURE,X0947650,0.001,Active
659,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD I TOWN HALL,33 KV TOWNHALL_41043TW2,41043TW2,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),DISTRICT HQ,URBAN,33,SECURE,UPP04520,0.08,Active
660,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD I TOWN HALL,33 KV TOWNHALL_41043TWH,41043TWH,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),DISTRICT HQ,URBAN,33,SECURE,UPU24692,0.05,Active
661,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD I TOWN HALL,33 KV COURT + D/H_41044CRT,41044CRT,TAPPED(WITH OTHER CONSUMER FEEDER),DISTRICT HQ,URBAN,33,SECURE,UPE61504,0.08,Active
662,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD I TOWN HALL,33 KV COURT + D/H_41044CRD,41044CRD,TAPPED(WITH OTHER CONSUMER FEEDER),DISTRICT HQ,URBAN,33,SECURE,UPU24689,0.06,Active
663,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD I TOWN HALL,33 KV RAILWAY_41044RL3,41044RL3,TAPPED(WITH OTHER CONSUMER FEEDER),DISTRICT HQ,URBAN,33,SECURE,XC436152,0.2,Active
664,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD I TOWN HALL,33 KV RAILWAY_41044RLY,41044RLY,TAPPED(WITH OTHER CONSUMER FEEDER),DISTRICT HQ,URBAN,33,LNT,12349821,0.2,Active
665,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33 KV BAMRAULI 1_41036BMR,41036BMR,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP7354A,120,Active
666,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33 KV AIR FORCE_41036AIR,41036AIR,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP7352A,90,Active
667,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33 KV BAMRAULI (AIR FORCE)_41073BMR,41073BMR,INDEPENDENT,OTHERS,URBAN,33,ELSTER,5130846,1,Active
668,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33 KV DFCCIL 1_41073DF1,41073DF1,INDEPENDENT,OTHERS,URBAN,33,SECURE,XD449411,1,Active
669,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33 KV DFCCIL 2_41073DF2,41073DF2,INDEPENDENT,OTHERS,URBAN,33,SECURE,XD449414,1,Active
670,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33 KV IIIT_41073IIT,41073IIT,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP26691,0.06,Active
671,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33 KV NCR_41073NCR,41073NCR,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP26643,0.06,Active
672,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD VI AZAMGARH,33 KV SUGAR MILLS SATHIAON_41045SGM,41045SGM,INDEPENDENT,,,33,,,,InActive
673,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD VI AZAMGARH,33 KV CHACKRAPANPUR_41064CHC,41064CHC,INDEPENDENT,DISTRICT HQ,DISTRICT HQ,33,SECURE,UPU24711,2,InActive
674,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD SIDHARTH NAGAR,33 KV MEDICAL COLLAGE_41048MDC,41048MDC,INDEPENDENT,DISTRICT HQ,DISTRICT HQ,33,SECURE,X0374547,1,Active
675,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD SIDHARTH NAGAR,33 KV COURT AND HOSPITAL_41048CNH,41048CNH,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPU24598,1,Active
676,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD SIDHARTH NAGAR,33 KV SSGPPL_41048SSG,41048SSG,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24825,1,Active
677,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD SIDHARTH NAGAR,33 KV UNIVERSITY_41048UNI,41048UNI,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24666,2,Active
678,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD SIDHARTH NAGAR,33 KV MADHAV GOVIND_41048MHG,41048MHG,INDEPENDENT,OTHERS,RURAL,33,SECURE,8250751,1,Active
679,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD SHIKARIGANJ,33 KV BARANAGAR PUMP CANAL_41078BPC,41078BPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,XE486052,2,Active
680,POORVANCHAL,GORAKHPUR-II,EDC KUSHINAGAR,EDD SEVRAHI,33 KV R.R.S. SARGATIA,41052RRS,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPU24724,25,Active
681,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD SAIDPUR,33 KV CHOCHAKPUR PUM CANAL_41056CPC,41056CPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,X1196588,1,Active
682,POORVANCHAL,MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33 KV JANPAD NYAYALAY_41010JNL,41010JNL,INDEPENDENT,TEHSIL HQ,TEHSIL,33,SECURE,X0370306,20,Active
683,POORVANCHAL,MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33 KV CHURK-II_41010CK2,41010CK2,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,APMB0420,0.06,Active
684,POORVANCHAL,MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33 KV SONE PUMP CANAL-III&IV_41010SP3,41010SP3,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP26721,1,Active
685,POORVANCHAL,MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33 KV SONE PUMP CANAL-I&II_41010SP1,41010SP1,INDEPENDENT,OTHERS,RURAL,33,SECURE,O7033911,1,Active
686,POORVANCHAL,MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33 KV DHOVA PUMP CANAL_41072DPC,41072DPC,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0395286,300,Active
687,POORVANCHAL,MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33 KV KOTA-2_41006KT2,41006KT2,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0370303,0.06,Active
688,POORVANCHAL,MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33 KV BINA-II_41006BN2,41006BN2,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP26722,0.12,Active
689,POORVANCHAL,MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33 KV BINA-I_41006BN1,41006BN1,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP26724,0.12,Active
690,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD FAFAMAU,33 KV CRPF_41067CRF,41067CRF,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP26658,0.06,Active
691,POORVANCHAL,GORAKHPUR-II,EDC KUSHINAGAR,EDD PADRAUNA,33 KV COURT_41030CRT,41030CRT,INDEPENDENT,,,33,,,,InActive
692,POORVANCHAL,GORAKHPUR-II,EDC MAHRAJGANJ,EDD NAUTANWA,33 KV NAUTANWA_41049NTN,41049NTN,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPS97021,10,Active
