S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
,,,,,,,,,,,,DALIBAGH_30105,7522.82,RAJ BHAWAN,MADHYANCHAL
38,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV DARULSAFA FEEDER,EX 485207,T-D,July,2024,0,5039.8,DARUL SHAFA_30096,5041.96,HUSSAIN GANJ,MADHYANCHAL
39,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV RACE COURSE,EX 485231,T-D,July,2024,0,4886.2,,,,
40,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV JACK BUS,EX 485222,T-D,July,2024,0,1140,,,,
41,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV LAW MART FEEDER,EX 485209,T-D,July,2024,0,161.35,,,,
42,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV RAJ BHAWAN FEEDER,EX 485198,T-D,July,2024,0,1099.2,RAJ BHAWAN_30104,2077.4,RAJ BHAWAN,MADHYANCHAL
43,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV VIDHAN SABHA,EXUPP40666,T-D,July,2024,0,0,VS MARG_34173,4876.5,HUSSAIN GANJ,MADHYANCHAL
,,,,,,,,,,,,VS MARG_34173,4876.5,HUSSAIN GANJ,MADHYANCHAL
45,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV LAPLASH FEEDER,EX 484196,T-D,July,2024,0,5478,CLYDE ROAD_30106,2305.16,RAJ BHAWAN,MADHYANCHAL
,,,,,,,,,,,,LA PLASS_34134,1656.72,RAJ BHAWAN,MADHYANCHAL
47,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV NEW SACHIVALAY FEEDER,EX485195,T-D,July,2024,0,14.2,,,,
48,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33KV VIKRAMADITYA MARG FEEDER,X1944058,T-D,July,2024,0,520.45,VIKRAMADITYA MARG_34233,952.7,RAJ BHAWAN,MADHYANCHAL
49,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV COOPER ROAD,X1944145,T-D,July,2024,0,689.9,,,,
50,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV URDU UNIVERCITY,UPP26179,T-D,July,2024,0,111.39,,,,
51,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV ALIGANJ,5130790,T-D,July,2024,0,3464.2,GOYEL CHAURAHA_34176,3432,DALIGANJ,MADHYANCHAL
52,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV ELDICO CITY,UPP26282,T-D,July,2024,0,893.04,ELDECO CITY_34177,894,BAKSHI KA TALAB,MADHYANCHAL
53,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV IIM,5130783,T-D,July,2024,0,3558.04,RCM ROAD_34182,3560,BAKSHI KA TALAB,MADHYANCHAL
54,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV FAIZULLAH GANJ,5249762,T-D,July,2024,0,9042.9,FAIZULLAGANJ_34172,8808,SITAPUR ROAD,MADHYANCHAL
55,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV BAURU MAU,X0372811,T-D,July,2024,0,5356.2,DAUD NAGAR_34224,3533,SITAPUR ROAD,MADHYANCHAL
56,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV SHALIMAR KSMB,X0372748,T-D,July,2024,0,414.4,SHALIMAR GARDEN_34179,414,BAKSHI KA TALAB,MADHYANCHAL
