S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
49,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,63MVA T/F II,UP-0035A,T-D,July,2024,0,18206.88,PALIYA BUJURG_444133,3612,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,SULTAANPUR GHOSH_444133,6395,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,KHARSERWA_444133,1968,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,LATIFPUR_444133,1809,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,SITHAURA_444133,1806,EDD KHAGA,POORVANCHAL
54,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,KHAGA RURAL BAY,UPP26147,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
56,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,KHAKHRERU BAY,UPP26149,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
58,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,KHAGA TOWN BAY,7252873,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
60,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,SULTANPUR GHOSE,5268013,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
62,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,SITHAURA,5268011,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
64,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,MAHICHAMANDIR,Y0197648,T-D,July,2024,0,3094.4,,,,
65,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,KISHANPUR,Y0197649,T-D,July,2024,0,4834,,,,
66,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,CHAUKI CHAURAHA,Y0197590,T-D,July,2024,0,1399.4,,,,
67,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,BUS COUPLER,5268012,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
69,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,40 MVA T/F,UP-1448A,T-D,July,2024,0,8122.08,KISHANPUR_444133,4873,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,MAHICHA MANDIR_444133,2064,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,CHAUKI CHAURAHA_444133,1399,EDD KHAGA,POORVANCHAL
72,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,Rasoolpur sani,7252877,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
74,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,HATHGAON1,23000820.1,T-D,July,2024,0,6626,,,,
75,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,JOGAPUR PUMP CANAL,13193463,T-D,July,2024,0,103.6,,,,
76,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,DISTRICT COURT,13194290,T-D,July,2024,0,31.8,,,,
77,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,PASHCHIM SHARIRA,KAU06602,T-D,July,2024,0,6869.6,PACHIM SARIRA_444312,5495.68,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,MAHEWA GHAT - SHAHPUR_444312,1373.92,EDD KAUSHAMBI,POORVANCHAL
79,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,DEVKHARPUR,KAU06617,T-D,July,2024,0,1228.7,DEVKHAR PUR_444312,1228.7,EDD KAUSHAMBI,POORVANCHAL
80,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,MANJHANPUR-1,KAU06612,T-D,July,2024,0,7672,POLICE LINE_444312,1918,EDD KAUSHAMBI,POORVANCHAL
81,SOUTH-EAST,ETC Prayagraj-II,ETD Kaushambi,132KV S/S MANJHANPUR,BHARSAWA,10291383,T-D,July,2024,0,0,BHARSAWA_444312,2735,EDD KAUSHAMBI,POORVANCHAL
,,,,,,,,,,,,BHARSAWA_444312,2735,EDD KAUSHAMBI,POORVANCHAL
