S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
34,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV THANA GANJ, CB-8",UPP40008,T-D,July,2024,0,603.72,THANA GANJ_11426,1934,EDD I RAMPUR,PASCHIMANCHAL
35,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,33 KHAITAN CB-9,X0372783,T-D,July,2024,0,12.9,,,,
36,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33 KV DISTRICT HOSPITAL,CB-10",X0372813,T-D,July,2024,0,135.96,,,,
37,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV SHAHABAD GATE, CB-12",5130201,T-D,July,2024,0,5053,SHAHABAD GATE_10116,5053,EDD I RAMPUR,PASCHIMANCHAL
38,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,33 KV CIVIL LINE CB-13,KAV07967,T-D,July,2024,0,6341,CIVIL LINES_10110,6341,EDD I RAMPUR,PASCHIMANCHAL
39,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV AJEETPUR -I, CB-15",UPP40074,T-D,July,2024,0,5187.24,AJEETPUR_10111,5187,EDD I RAMPUR,PASCHIMANCHAL
40,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV AMBEDKER PARK, CB-16",UPP39800,T-D,July,2024,0,4222,NAWAB GATE_10113,3297,EDD I RAMPUR,PASCHIMANCHAL
,,,,,,,,,,,,AMBEDKAR PARK_10483,925,EDD I RAMPUR,PASCHIMANCHAL
42,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33 KV DISTRICT COURT, CB-17",13194349,T-D,July,2024,0,31.31,,,,
43,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33 KV AJEETPUR -2ND, CB-18",UPP39866,T-D,July,2024,0,4226.16,AJEETPUR 2_15026,1471,EDD I RAMPUR,PASCHIMANCHAL
,,,,,,,,,,,,PATWAI_120543,2755,EDD MILAK,PASCHIMANCHAL
,,,,,,,,,,,,AJEETPUR 2_15026,1471,EDD MILAK,PASCHIMANCHAL
46,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",SHAHBAD RL,15197377,T-D,July,2024,0,2380.8,SHAHBAD_120543,2381,EDD MILAK,PASCHIMANCHAL
47,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",KHARSOL,15197324,T-D,July,2024,0,617.9,KHARSOL_11513,618,EDD MILAK,PASCHIMANCHAL
48,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",SHAHBAD TEHSIL,15197350,T-D,July,2024,0,2699.15,BHITAR GAO SHAHBAD_10388,2699,EDD MILAK,PASCHIMANCHAL
49,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",MADHUKER,15197380,T-D,July,2024,0,3714.6,MADHUKAR_120543,3715,EDD MILAK,PASCHIMANCHAL
50,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",SAIFNI,15197348,T-D,July,2024,0,2389.3,SAFINI_120543,2389,EDD MILAK,PASCHIMANCHAL
51,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",TRNSFER BUS COUPLER,15197366,T-D,July,2024,0,0,,,,
52,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33 KV FDR. DOONGARPUR,16197641,T-D,July,2024,0,4422.1,DOONGARPUR_10112,4422,EDD I RAMPUR,PASCHIMANCHAL
53,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. KHOD,16197636,T-D,July,2024,0,5025,KHOD_120542,5025,EDD II RAMPUR,PASCHIMANCHAL
54,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. MILAK KHANAM,16197677,T-D,July,2024,0,2479.2,MILAK KHANAM_120542,2479,EDD II RAMPUR,PASCHIMANCHAL
55,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. TBC,16197687,T-D,July,2024,0,0,,,,
56,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. QUILA,16197692,T-D,July,2024,0,2117.6,QUILA_10374,2118,EDD I RAMPUR,PASCHIMANCHAL
57,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. SWAR(RURAL),16197690,T-D,July,2024,0,5022.1,SWAR_120542,5022,EDD II RAMPUR,PASCHIMANCHAL
58,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. JAUHAR UNIVERSITY,16197686,T-D,July,2024,0,3.8,JAUHAR UNIVERSITY_11520,4,EDD II RAMPUR,PASCHIMANCHAL
59,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33 KV FEEDER BHOT,16197654,T-D,July,2024,0,3551.7,BHOT_120544,3552,EDD BILASPUR,PASCHIMANCHAL
60,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),"132KV RANA SUGAR MILL, BELWARA (COGEN)",UPP68869,T-D,July,2024,0,527.14,,,,
61,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. DARIYAL,KAU07998,T-D,July,2024,0,0,DARIYAL_120542,3172,EDD II RAMPUR,PASCHIMANCHAL
,,,,,,,,,,,,DARIYAL_120542,3172,EDD II RAMPUR,PASCHIMANCHAL
