S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
46,WEST,ETC Meerut,ETD Meerut-II,132 KV KANKARKHERA-II,33KV Rohta,17010017,T-D,June,2024,0,3429,,,,
47,WEST,ETC Meerut,ETD Meerut-II,132 KV KANKARKHERA-II,33KV kathwari,17010016,T-D,June,2024,0,3827,,,,
48,WEST,ETC Meerut,ETD Meerut-II,132 KV KANKARKHERA-II,33KV Bus coupler bay,1619650,T-D,June,2024,0,0,,,,
49,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-1 NEW MDA,14192594,T-D,June,2024,0,2809.2,MDA 1_120411,2050,EDD I MORADABAD,PASCHIMANCHAL
,,,,,,,,,,,,MDA 2_120411,759,EDD I MORADABAD,PASCHIMANCHAL
51,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-02 GROWTH CENTER,X0372764,T-D,June,2024,0,713.6,GROWTH CENTER_120411,714,EDD I MORADABAD,PASCHIMANCHAL
52,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-03 SITAPURI,5130763,T-D,June,2024,0,8383.98,SITAPURI_10177,8384,EUDD III MORADABAD,PASCHIMANCHAL
53,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-04 CHAUDHARPUR,14192482,T-D,June,2024,0,6063,CHODHARPUR_120411,6063,EDD I MORADABAD,PASCHIMANCHAL
54,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-06 RATANPUR,5130758,T-D,June,2024,0,3090,RATANPUR_120411,3090,EDD I MORADABAD,PASCHIMANCHAL
55,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-07 NAGAR ONE,X0372787,T-D,June,2024,0,2866,NAGAR 1_15013,1191,EUDD I MORADABAD,PASCHIMANCHAL
56,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-08 MANDI SAMITI,5130805,T-D,June,2024,0,4159.36,MANDI SAMITI_10176,4159,EUDD I MORADABAD,PASCHIMANCHAL
57,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-09 LOCOSHED,5130810,T-D,June,2024,0,1701.38,LOCO SHED_10185,1701,EUDD I MORADABAD,PASCHIMANCHAL
58,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-10 TOWNHALL,5130814,T-D,June,2024,0,5831.6,TAXI STAND_10175,3410,EUDD I MORADABAD,PASCHIMANCHAL
,,,,,,,,,,,,TOWN HALL_10168,5132,EUDD II MORADABAD,PASCHIMANCHAL
60,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-11 T.P. NAGAR,7007973,T-D,June,2024,0,6414,TRANSPORT NAGAR_10178,5164,EUDD I MORADABAD,PASCHIMANCHAL
61,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-12 DESIGN CO.,X0372779,T-D,June,2024,0,1037.8,,,,
62,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-13 MAJHOLA-I,14192455,T-D,June,2024,0,2010,MAJHOLA_15014,2010,EUDD I MORADABAD,PASCHIMANCHAL
63,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-14 RAILWAY,X0372786,T-D,June,2024,0,405.1,,,,
64,WEST,ETC Moradabad-I,ETD Moradabad-II,220KV S/S MORADABAD(MAJHOLA),CB-16 MAJHOLA-II,13193355,T-D,June,2024,0,3438.7,MAJHOLA_15014,3473,EDD I MORADABAD,PASCHIMANCHAL
