S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
,,,,,,,,,,,,,,,
154,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. TBC,UPP40014,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
156,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. WHEELS INDIA LTD.,9577284,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
158,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. KASHIF RICE MILL,KAU07941,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
160,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. BHAGATPUR,KAU08009,T-D,June,2024,0,0,BHAGATPUR_120412,3327,EDD II MORADABAD,PASCHIMANCHAL
,,,,,,,,,,,,BHAGATPUR_120412,3327,EDD II MORADABAD,PASCHIMANCHAL
162,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. TANDA TEHSEEL,13194263,T-D,June,2024,0,4548.56,,,,
163,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. SWAR TEHSEEL,13194355,T-D,June,2024,0,5188.16,SWAR TEHSEEL_11307,3478,EDD II RAMPUR,PASCHIMANCHAL
164,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S TANDA (RAMPUR),33KV FDR. MASWASI,13193407,T-D,June,2024,0,12170.96,MASWASI_11300,6145,EDD II RAMPUR,PASCHIMANCHAL
165,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,DHANAURI MAFI,SIE55604,T-D,June,2024,0,1472,DHANAURI MAFI_120632,1472,EDD I GAJRAULA,PASCHIMANCHAL
166,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,RAJABPUR-I,SIE55602,T-D,June,2024,0,0,RAJABPUR_120631,5894,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,RAJABPUR_120631,5894,EDD I AMROHA,PASCHIMANCHAL
168,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,DEHRA MILAK / DHAKKA,SIE55606,T-D,June,2024,0,0,DEHRA MILAK_120634,2300,EDD II GAJRAULA,PASCHIMANCHAL
,,,,,,,,,,,,DHAKKA_120634,2225,EDD II GAJRAULA,PASCHIMANCHAL
,,,,,,,,,,,,DEHRA MILAK_120634,2300,EDD II GAJRAULA,PASCHIMANCHAL
,,,,,,,,,,,,DHAKKA_120634,2225,EDD II GAJRAULA,PASCHIMANCHAL
172,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,SHAHWAJPUR,SIE55608,T-D,June,2024,0,1109,SHAHBAZPUR_120631,1041,EDD I AMROHA,PASCHIMANCHAL
173,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,BHAWALPUR,55603,T-D,June,2024,0,0,BHAWALPUR_120631,3920,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,BHAWALPUR_120631,3920,EDD I AMROHA,PASCHIMANCHAL
175,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,TAHARPUR,55600,T-D,June,2024,0,3799,TAHARPUR_120634,3802,EDD II GAJRAULA,PASCHIMANCHAL
176,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,NEKPUR/DAULATPUR,55605,T-D,June,2024,0,0,NEKPUR_120474,1450,EDD SAMBHAL,PASCHIMANCHAL
,,,,,,,,,,,,DAULATPUR_120631,2820,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,NEKPUR_120474,1450,EDD SAMBHAL,PASCHIMANCHAL
,,,,,,,,,,,,DAULATPUR_120631,2820,EDD I AMROHA,PASCHIMANCHAL
180,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,JAUJKHERA,Y0197591,T-D,June,2024,0,1366.6,JAUJKHERA_120631,1367,EDD I AMROHA,PASCHIMANCHAL
181,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,RAJABPUR-II,Y0197651,T-D,June,2024,0,0,RAJABPUR-2_120631,1992,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,RAJABPUR-2_120631,1992,EDD I AMROHA,PASCHIMANCHAL
183,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,SUDANPUR/SIBORA,Y0197744,T-D,June,2024,0,0,SUDANPUR_120631,3316,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,BUDHANPUR DIDDOLI_120631,1867,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,SUDANPUR_120631,3316,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,BUDHANPUR DIDDOLI_120631,1867,EDD I AMROHA,PASCHIMANCHAL
187,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,JALALPUR KALAN,X1484943,T-D,June,2024,0,828.8,JALALPUR KALAN_11512,829,EDD I GAJRAULA,PASCHIMANCHAL
188,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,BUS COUPLER,SIE55607,T-D,June,2024,0,178,,,,
189,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,63 MVA T/F-II,APM89666,T-D,June,2024,0,15306,,,,
190,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,63 MVA T/F -III,UP-5065-A,T-D,June,2024,0,11894.64,,,,
191,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,KAFURPUR TSS LINE,UP0092,T-D,June,2024,69.84,3191.76,,,,
192,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,JOYA,SIE55601,T-D,June,2024,0,0,JOYA_120631,5644,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,JOYA_120631,5644,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,JOYA_120631,5644,EDD I AMROHA,PASCHIMANCHAL
195,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,63 MVA T/F-I,APM89665,T-D,June,2024,0,12886,,,,
196,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,UJHARI,X0479560,T-D,June,2024,0,5127.2,UJHARI_11262,5127,EDD II GAJRAULA,PASCHIMANCHAL
197,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,SUGAR MILL,UPP26322,T-D,June,2024,0,113.4,,,,
198,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,HASAN PUR,KAU08023,T-D,June,2024,0,6334.6,TEHSIL HASANPUR_10393,6335,EDD II GAJRAULA,PASCHIMANCHAL
199,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,RAMPURA,KAU07999,T-D,June,2024,0,4935.8,SAIDNAGLI_120634,4936,EDD II GAJRAULA,PASCHIMANCHAL
200,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,DHAWARSI,KAU08014,T-D,June,2024,0,5101,DHAWARSI_120634,5101,EDD II GAJRAULA,PASCHIMANCHAL
201,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,BUS COUPLER,KAU08037,T-D,June,2024,0,0,,,,
202,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,GARAVPUR,UPP39780,T-D,June,2024,0,2063.16,ADAMPUR_120634,1803,EDD II GAJRAULA,PASCHIMANCHAL
,,,,,,,,,,,,GARABPUR_120634,1492,EDD II GAJRAULA,PASCHIMANCHAL
204,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,EKONDA,5081429,T-D,June,2024,0,2353.52,EKONDA_120634,2354,EDD II GAJRAULA,PASCHIMANCHAL
205,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,NAGLA KHADAR,X0479571,T-D,June,2024,0,1051.2,NAGLA KHADER_120634,1051,EDD II GAJRAULA,PASCHIMANCHAL
206,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,ISHA PUR,KAU08010,T-D,June,2024,0,4255.6,ISHAPUR_120634,1969,EDD II GAJRAULA,PASCHIMANCHAL
,,,,,,,,,,,,JAITOLI_120634,2287,EDD II GAJRAULA,PASCHIMANCHAL
208,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,63 MVA TF-1,UP-2764A,T-D,June,2024,0,14043.84,,,,
209,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,63 MVA TF-2,UP-2765A,T-D,June,2024,0,15841.44,,,,
210,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,40 MVA TF-1,UP 5014 A,T-D,June,2024,0,5605.8,,,,
211,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,BURAWALI,KAU08028,T-D,June,2024,0,4148.4,BURAWALI_120634,4148,EDD II GAJRAULA,PASCHIMANCHAL
212,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,sector 17A,UPU19211,T-D,June,2024,0,4428,BHATTA PARSOL_141026,2635.1,EUDD GREATER NOIDA,PASCHIMANCHAL
,,,,,,,,,,,,SEC-17A_11510,2005.3,EUDD GREATER NOIDA,PASCHIMANCHAL
214,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,MANDI SHYAM NAGAR,UPU19212,T-D,June,2024,0,5.6,MANDI SHYAM NAGAR_141026,6206.6,EUDD GREATER NOIDA,PASCHIMANCHAL
,,,,,,,,,,,,DANKOR_11292,4630,EUDD GREATER NOIDA,PASCHIMANCHAL
216,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,DANKAUR,UPU19205,T-D,June,2024,0,7792,,,,
217,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,SECTOR 22A SALARPUR,UPU18240,T-D,June,2024,0,0,,,,
218,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,BHATTA PARSOL,UPU19209,T-D,June,2024,0,2813.6,,,,
219,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,WAIR,UPU19220,T-D,June,2024,0,1219.4,SALARPUR_141026,2243.83,EUDD GREATER NOIDA,PASCHIMANCHAL
220,WEST,ETC Noida,ETD Noida-II,132 KV S/S DANKAUR,BUS COUPLAR,UPU19222,T-D,June,2024,0,6233.2,,,,
