S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
,,,,,,,,,,,,NIBOHRA_24724,1904,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1007,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,1342,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1962,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BILAIPURA_24396,2101,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,1266,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,982,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,1873,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,981,EDD III AGRA,DAKSHINANCHAL
66,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV WAZIDPUR,X0479577,T-D,June,2024,0,3328.4,MAZARA_24665,1918,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1904,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1007,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,1342,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1962,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,1266,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,982,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,1873,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,981,EDD III AGRA,DAKSHINANCHAL
75,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV I.P.D.S FATEHABAD,X0479576,T-D,June,2024,0,3141.6,MAZARA_24665,1918,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1904,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1007,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,1342,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1962,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,1266,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,982,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,1873,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,981,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,FATEHABAD TOWN_22243,3140,EDD III AGRA,DAKSHINANCHAL
85,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV JACK BUS,KAU06337,T-D,June,2024,0,71.2,,,,
86,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,63MVA T/F 1 (781),UP1776A,T-D,June,2024,15235.13,0,,,,
87,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,63MVA T/F 2 (782),UP3200A,T-D,June,2024,13496.25,0,,,,
88,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV ASFABAD BAY FZD,9577836,T-D,June,2024,0,6477.6,ASFABAD_20033,6478,EUDD II FIROZABAD,DAKSHINANCHAL
89,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV LABOUR COLONY BAY FZD,UPE05794,T-D,June,2024,0,4815.48,LABOUR COLONY_20039,4437,EUDD I FIROZABAD,DAKSHINANCHAL
,,,,,,,,,,,,RAM NAGAR_20040,3256,EUDD I FIROZABAD,DAKSHINANCHAL
,,,,,,,,,,,,RAM NAGAR-II_20205,866,EUDD I FIROZABAD,DAKSHINANCHAL
92,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV PURSHOTTAM VIHAR BAY FZD,9577837,T-D,June,2024,0,7512,PURSHOTTAM VIHAR_20034,7512,EUDD II FIROZABAD,DAKSHINANCHAL
93,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV DM COMPLEX BAY FZD,UPE05795,T-D,June,2024,0,4816.8,DABARAI_24444,4816.8,EDD FIROZABAD,DAKSHINANCHAL
94,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV MATSENA BAY FZD,DM531,T-D,June,2024,0,2172,MATSENA_24662,2171.8,EDD FIROZABAD,DAKSHINANCHAL
95,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV RASOOLPUR BAY FZD,5267382,T-D,June,2024,0,5989.98,RASULPUR_20035,5990,EUDD I FIROZABAD,DAKSHINANCHAL
96,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV UPSIDC BAY FZD N,5267386,T-D,June,2024,0,9128,UPSIDC_24946,4522.5,EDD FIROZABAD,DAKSHINANCHAL
97,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV DABRAI COURT FEEDER FZD,5267384,T-D,June,2024,0,164.28,,,,
98,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV JACK BUS,UPE41026,T-D,June,2024,0,3744.72,ASFABAD_20033,6478,EUDD II FIROZABAD,DAKSHINANCHAL
,,,,,,,,,,,,S. N. HOSPITAL_20036,7135,EUDD II FIROZABAD,DAKSHINANCHAL
100,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV SN HOSPITAL BAY,F31/6377/299,T-D,June,2024,0,7135.4,,,,
101,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33 KV SHUAG.NAGAR BAY,F31/6394/299,T-D,June,2024,0,6462.8,,,,
102,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV RAIPURA,UPE/05794,T-D,June,2024,0,3427.8,REPURA_24800,3427.8,EDD FIROZABAD,DAKSHINANCHAL
103,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV INDUESTRIAL.ESTATE.,F31/6332/299,T-D,June,2024,0,3512.2,GANDHI PARK_20037,3310,EUDD I FIROZABAD,DAKSHINANCHAL
,,,,,,,,,,,,SUHAG NAGAR_20041,3192,EUDD I FIROZABAD,DAKSHINANCHAL
105,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,33KV SUN GLASS BAY,5775A,T-D,June,2024,0,991.77,,,,
106,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,33 KV PAIDAT / UDESER,KAU04878,T-D,June,2024,0,2632,PAINDAT_24745,1323.69,EDD JASRANA,DAKSHINANCHAL
,,,,,,,,,,,,UDESSAR_24906,1308.17,EDD JASRANA,DAKSHINANCHAL
