S.No,Discom,Zone,Circle,Division,,
184,POORVANCHAL,VARANASI-II,EDC I JAUNPUR,EDD III JAUNPUR,DIV416371,  
185,MADHYANCHAL,DEVI PATAN,EDC BAHRAICH,EDD III KAISERGANJ,,  
186,MADHYANCHAL,SITAPUR,EDC LAKHIMPUR,EDD III LAKHIMPUR,,  
187,PASCHIMANCHAL,GHAZIABAD-II,EDC LONI,EDD III LONI,,  
188,DAKSHINANCHAL,FIROZABAD,EDC MAINPURI,EDD III MAINPURI,,  
189,DAKSHINANCHAL,MATHURA,EDC II MATHURA,EDD III MATHURA,,  
190,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD III MEERUT,,  
191,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD III MORADABAD,,  
192,DAKSHINANCHAL,KANPUR-II,EDC ETAWAH,EDD III SAIFAI,,  
193,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD III SAKALDIHA,,  
194,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD III SHAMLI,,  
195,MADHYANCHAL,RAEBARELI,EDC UNNAO,EDD III UNNAO PURWA,,  
196,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD IV BAIRIYA,,  
197,MADHYANCHAL,DEVI PATAN,EDC GONDA,EDD IV GONDA MANKAPUR,,  
198,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD IV HATHRAS,,  
199,DAKSHINANCHAL,ALIGARH,EDC II ALIGARH,EDD IV IGLAS,,  
200,POORVANCHAL,VARANASI-II,EDC I JAUNPUR,EDD IV JAUNPUR,,  
201,DAKSHINANCHAL,AGRA,EDC AGRA,EDD IV KIRAWALI,,  
202,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD IV MEERUT,,  
203,PASCHIMANCHAL,NOIDA,EUDC II NOIDA,EDD IV NOIDA,,  
204,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD IV SHAMLI,,  
205,MADHYANCHAL,RAEBARELI,EDC UNNAO,EDD IV UNNAO BANGARMAU,,  
206,MADHYANCHAL,AYODHYA,EDC GAURIGANJ,EDD JAGDISHPUR,,  
207,PASCHIMANCHAL,BULANDSHAHAR,EDC III BULANDSHAHAR,EDD JAHANGIRABAD,,  
208,MADHYANCHAL,AYODHYA,EDC SULTANPUR,EDD JAISINGHPUR,,  
209,MADHYANCHAL,BAREILLY-II,EDC SHAHJAHANPUR,EDD JALALABAD,,  
210,MADHYANCHAL,AYODHYA,EDC AMBEDKAR NAGAR,EDD JALALPUR,,  
211,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD JASRANA,,  
212,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD JHIJAK,,  
213,MADHYANCHAL,AYODHYA,EDC SULTANPUR,EDD KADIPUR,,  
214,DAKSHINANCHAL,KANPUR-II,EDC KANNAUJ,EDD KANNAUJ,,  
215,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD KANPUR DEHAT,,  
216,DAKSHINANCHAL,ETAH,EDC KASGANJ,EDD KASGANJ,,  
217,DAKSHINANCHAL,ETAH,EDC KASGANJ,EDD KASGANJ RURAL,,  
218,POORVANCHAL,GORAKHPUR-II,EDC KUSHINAGAR,EDD KASYA,,  
219,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD KAURIRAM,,  
220,POORVANCHAL,PRAYAGRAJ-II,EDC KAUSHAMBHI,EDD KAUSHAMBI,,  
221,DAKSHINANCHAL,KANPUR-II,EDC FARRUKHABAD,EDD KAYAMGANJ,,  
222,POORVANCHAL,PRAYAGRAJ-II,EDC FATEHPUR,EDD KHAGA,,  
223,POORVANCHAL,BASTI,EDC KHALILABAD,EDD KHALILABAD,,  
224,PASCHIMANCHAL,MUZAFFARNAGAR,EDC II MUZAFFARNAGAR,EDD KHATAULI,,  
225,DAKSHINANCHAL,AGRA,EDC AGRA,EDD KHERAGARH,,  
226,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EDD KHURJA,,  
227,POORVANCHAL,PRAYAGRAJ-II,EDC PRATAPGARH,EDD LALGANJ,,  
228,MADHYANCHAL,RAEBARELI,EDC II RAEBARELI,EDD LALGANJ RAIBAREILI,,  
229,MADHYANCHAL,AYODHYA,EDC SULTANPUR,EDD LAMBHUA,,  
230,POORVANCHAL,VARANASI-II,EDC II JAUNPUR,EDD MACHHLISHAHAR,,  
231,MADHYANCHAL,RAEBARELI,EDC I RAEBARELI,EDD MAHARAJGANJ,,  
232,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,,  
233,POORVANCHAL,GORAKHPUR-II,EDC MAHRAJGANJ,EDD MAHRAJGANJ,,  
234,DAKSHINANCHAL,MATHURA,EDC II MATHURA,EDD MATH,,  
235,DAKSHINANCHAL,JHANSI,EDC JHANSI,EDD MAURANIPUR,,  
236,POORVANCHAL,BASTI,EDC KHALILABAD,EDD Mehdawal,,  
237,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD MEZA,,  
238,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD MILAK,,  
239,PASCHIMANCHAL,GHAZIABAD-II,EDC GHAZIABAD,EDD MODINAGAR,,  
240,MADHYANCHAL,SITAPUR,EDC GOLA,EDD MOHAMMADI,,  
241,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD MUGHAL SARAI,,  
242,PASCHIMANCHAL,GHAZIABAD-II,EDC GHAZIABAD,EDD MURADNAGAR,,  
243,PASCHIMANCHAL,GAJRAULA,EDC DHAMPUR,EDD NAGINA,,  
244,PASCHIMANCHAL,GAJRAULA,EDC DHAMPUR,EDD NAJIBABAD,,  
245,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD NAKUR,,  
246,MADHYANCHAL,DEVI PATAN,EDC BAHRAICH,EDD NANPARA,,  
247,POORVANCHAL,GORAKHPUR-II,EDC MAHRAJGANJ,EDD NAUTANWA,,  
248,POORVANCHAL,GORAKHPUR-II,EDC MAHRAJGANJ,EDD NICHLAUL,,  
249,POORVANCHAL,GORAKHPUR-II,EDC KUSHINAGAR,EDD PADRAUNA,,  
250,MADHYANCHAL,SITAPUR,EDC GOLA,EDD PALIA,,  
251,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD PHOOLPUR,,  
252,MADHYANCHAL,BAREILLY-II,EDC PILIBHIT,EDD PILIBHIT,,  
253,POORVANCHAL,MIRZAPUR,EDC SONBHADRA,EDD PIPARI,,  
254,MADHYANCHAL,BAREILLY-II,EDC SHAHJAHANPUR,EDD POWAYAN,,  
255,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD PUKHRAYAN,,  
256,MADHYANCHAL,BAREILLY-II,EDC PILIBHIT,EDD PURANPUR,,  
257,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD RAMPUR MANIHARAN,,  
258,POORVANCHAL,PRAYAGRAJ-II,EDC PRATAPGARH,EDD RANI GANJ,,  
259,DAKSHINANCHAL,BANDA,EDC HAMIRPUR,EDD RATH,,  
260,POORVANCHAL,MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,,  
261,MADHYANCHAL,AYODHYA,EDC AYODHYA,EDD RUDAULI,,  
262,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD SAIDPUR,,  
263,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD SALEMPUR,,  
264,MADHYANCHAL,RAEBARELI,EDC II RAEBARELI,EDD SALON,,  
265,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD SAMBHAL,,  
266,MADHYANCHAL,SITAPUR,EDC HARDOI,EDD SANDILA,,  
267,POORVANCHAL,GORAKHPUR-II,EDC KUSHINAGAR,EDD SEVRAHI,,  
268,MADHYANCHAL,SITAPUR,EDC HARDOI,EDD SHAHABAD,,  
269,POORVANCHAL,VARANASI-II,EDC II JAUNPUR,EDD SHAHGANJ,,  
270,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD SHIKARIGANJ,,  
271,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD SHIKOHABAD,,  
272,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD SHIRSAGANJ,,  
273,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD SIANA,,  
274,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD SIDHARTH NAGAR,,  
275,MADHYANCHAL,DEVI PATAN,EDC BALRAMPUR,EDD SRAVASTI,,  
276,MADHYANCHAL,AYODHYA,EDC AMBEDKAR NAGAR,EDD TANDA,,  
277,MADHYANCHAL,BAREILLY-II,EDC SHAHJAHANPUR,EDD TILHAR,,  
278,MADHYANCHAL,AYODHYA,EDC GAURIGANJ,EDD TILOI,,  
279,MADHYANCHAL,DEVI PATAN,EDC BALRAMPUR,EDD TULSIPUR,,  
280,DAKSHINANCHAL,FIROZABAD,EDC FIROZABAD,EDD TUNDLA,,  
281,MADHYANCHAL,BAREILLY-II,EDC BADAUN,EDD UJHANI,,  
282,MADHYANCHAL,RAEBARELI,EDC II RAEBARELI,EDD UNCHAHAR,,  
283,DAKSHINANCHAL,ALIGARH,EDC II ALIGARH,EDD V ALIGARH,,  
284,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD V AZAMGARH,,  
285,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD V BULANDSHAHAR,,  
286,MADHYANCHAL,RAEBARELI,EDC UNNAO,EDD V UNNAO HASANGANJ,,  
287,DAKSHINANCHAL,ALIGARH,EDC II ALIGARH,EDD VI ALIGARH,,  
288,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD VI AZAMGARH,,  
289,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EDD VI BULANDSHAHAR,,  
290,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD ZAMANIA,,  
291,KESCO,KESCO,CIRCLE I,ELECTRICITY HOUSE,,  
292,POORVANCHAL,PRAYAGRAJ-I,EUDC II PRAYAGRAJ,EUDD BAMRAULI,,  
293,DAKSHINANCHAL,BANDA,EDC BANDA,EUDD BANDA,,  
294,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EUDD BULANDSHAHAR,,  
295,DAKSHINANCHAL,ETAH,EDC ETAH,EUDD ETAH,,  
296,DAKSHINANCHAL,KANPUR-II,EDC FARRUKHABAD,EUDD FARRUKHABAD,,  
297,PASCHIMANCHAL,NOIDA,EUDC II NOIDA,EUDD GREATER NOIDA,,  
298,DAKSHINANCHAL,ALIGARH,EUDC ALIGARH,EUDD I ALIGARH,,  
299,MADHYANCHAL,BAREILLY-I,EUDC BAREILLY,EUDD I BAREILLY,,  
300,POORVANCHAL,VARANASI-I,EUDC I VARANASI,EUDD I BHELUPUR,,  
